HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0007671	OG0006244	n0	XP_057368463.1	CAH0107497.1	XP_032783857.2	Daphnia00216-RA	XP_046458794.1	XP_046645471.1	KAI9558778.1
N0.HOG0007672	OG0006245	n0	XP_057368464.1	CAH0102075.1	XP_032783693.2	Daphnia00053-RA	XP_046457288.1	XP_046646368.1	KAI9558708.1
N0.HOG0007673	OG0006246	n0	XP_057368469.1	CAH0102248.1	XP_032783896.2	Daphnia00090-RA	XP_046459345.1	XP_046645645.1	KAI9558735.1
N0.HOG0007674	OG0006247	n0	XP_057368477.1	CAH0102247.1	XP_032783899.2	Daphnia00091-RA	XP_046459346.1	XP_046645724.1	KAI9558736.1
N0.HOG0007675	OG0006248	n0	XP_057368482.1	CAH0102077.1	XP_032783719.2	Daphnia00051-RB	XP_046457290.1	XP_046647991.1	KAI9558705.1
N0.HOG0007676	OG0006249	n0	XP_057368484.1	CAH0100045.1	XP_032781102.2	Daphnia03587-RA	XP_046437466.1	XP_046630714.1	KAI9555215.1
N0.HOG0007677	OG0006250	n0	XP_057368498.1, XP_057368497.1	CAH0102241.1	XP_045028251.1	Daphnia00095-RC			KAI9558740.1, KAI9558741.1
N0.HOG0007678	OG0006251	n0	XP_057368509.1	CAH0102069.1	XP_032783734.1	Daphnia00061-RA	XP_046458833.1	XP_046645920.1	KAI9558712.1
N0.HOG0007679	OG0006252	n0	XP_057368515.1	CAH0107504.1	XP_045028248.1	Daphnia00224-RA	XP_046458824.1	XP_046645964.1	KAI9558771.1
N0.HOG0007680	OG0006253	n0	XP_057368519.1	CAH0107502.1	XP_032783868.2	Daphnia00222-RA	XP_046457257.1	XP_046646109.1	KAI9558773.1
N0.HOG0007681	OG0006254	n0	XP_057368522.1	CAH0107499.1	XP_032783861.1	Daphnia00218-RA	XP_046457260.1	XP_046646034.1	KAI9558775.1
N0.HOG0007682	OG0006255	n0	XP_057368527.1	CAH0107888.1	XP_032783892.2	Daphnia00206-RA	XP_046457981.1	XP_046646062.1	KAI9558758.1
N0.HOG0007683	OG0006256	n0	XP_057368529.1	CAH0108668.1	XP_032783915.2	Daphnia00085-RA	XP_046459338.1	XP_046646088.1	KAI9558731.1
N0.HOG0007684	OG0006257	n0	XP_057368532.1	CAH0107505.1	XP_032782053.2	Daphnia00225-RA	XP_046456209.1	XP_046646141.1	KAI9558770.1
N0.HOG0007685	OG0006258	n0	XP_057368542.1	CAH0106123.1	XP_032783916.2	Daphnia00231-RA	XP_046456224.1	XP_046646198.1	KAI9558751.1
N0.HOG0007686	OG0006259	n0	XP_057368544.1	CAH0102242.1	XP_032783921.2	Daphnia00093-RA	XP_046459355.1	XP_046646209.1	KAI9558739.1
N0.HOG0007687	OG0006260	n0	XP_057368545.1	CAH0107887.1	XP_032783893.1	Daphnia00205-RA	XP_046457982.1	XP_046646261.1	KAI9558757.1
N0.HOG0007688	OG0006261	n0	XP_057368554.1	CAH0107908.1	XP_032783885.1	Daphnia00213-RA	XP_046458773.1	XP_046646294.1	KAI9558767.1
N0.HOG0007689	OG0006262	n0	XP_057368564.1	CAH0104252.1	XP_032783925.1	Daphnia00080-RA	XP_046459320.1	XP_046645714.1	KAI9558726.1
N0.HOG0007690	OG0006263	n0	XP_057368565.1	CAH0107886.1	XP_045028229.1	Daphnia00204-RA	XP_046457983.1	XP_046646350.1	KAI9558756.1
N0.HOG0007691	OG0006264	n0	XP_057368566.1	CAH0107498.1	XP_032783859.2	Daphnia00217-RB	XP_046458796.1	XP_046645790.1	KAI9558777.1
N0.HOG0007692	OG0006265	n0	XP_057368568.1	CAH0107500.1	XP_045028221.1	Daphnia00219-RA	XP_046457399.1	XP_046646061.1	KAI9558776.1
N0.HOG0007693	OG0006266	n0	XP_057368569.1	CAH0102074.1	XP_032783740.2	Daphnia00054-RA	XP_046457296.1	XP_046646375.1	KAI9558709.1
N0.HOG0007694	OG0006267	n0	XP_057368570.1	CAH0108551.1	XP_045035441.1	Daphnia07757-RA	XP_046455769.1	XP_046654741.1	KAI9552592.1
N0.HOG0007695	OG0006268	n0	XP_057368571.1	CAH0100044.1	XP_032780344.2	Daphnia03588-RA	XP_046437460.1	XP_046630707.1	KAI9555216.1
N0.HOG0007696	OG0006269	n0	XP_057368573.1	CAH0109030.1	XP_045028650.1	Daphnia00427-RA	XP_046456728.1	XP_046645657.1	KAI9559143.1
N0.HOG0007697	OG0006270	n0	XP_057368575.1	CAH0109005.1	XP_045027869.1	Daphnia00416-RA	XP_046456677.1	XP_046645675.1	KAI9559167.1
N0.HOG0007698	OG0006271	n0	XP_057368581.1	CAH0108996.1	XP_045028652.1	Daphnia00409-RA	XP_046456678.1	XP_046645861.1	KAI9559156.1
N0.HOG0007699	OG0006272	n0	XP_057368582.1	CAH0109022.1	XP_032783164.2	Daphnia00402-RA	XP_046456624.1	XP_046645875.1	KAI9559180.1
N0.HOG0007700	OG0006273	n0	XP_057368583.1	CAH0105588.1	XP_032780356.1, XP_045027056.1		XP_046437462.1	XP_046630711.1	KAI9555217.1
N0.HOG0007701	OG0006274	n0	XP_057368584.1	CAH0109021.1	XP_032783165.1	Daphnia00401-RA	XP_046456633.1	XP_046645887.1	KAI9559179.1
N0.HOG0007702	OG0006275	n0	XP_057368600.1	CAH0109027.1	XP_032783214.2	Daphnia00425-RA	XP_046456724.1	XP_046645952.1	KAI9559147.1
N0.HOG0007703	OG0006276	n0	XP_057368601.1	CAH0109032.1	XP_032783231.1	Daphnia00429-RA	XP_046456729.1	XP_046645983.1	KAI9559141.1
N0.HOG0007704	OG0006277	n0	XP_057368603.1	CAH0109023.1	XP_032783168.1	Daphnia00403-RA	XP_046456646.1	XP_046645999.1	KAI9559181.1
N0.HOG0007705	OG0006278	n0	XP_057368605.1	CAH0102854.1	XP_045026346.1	Daphnia07706-RA	XP_046454751.1	XP_046655695.1	KAI9555268.1
N0.HOG0007706	OG0006279	n0	XP_057368606.1	CAH0108997.1	XP_032783219.1	Daphnia00410-RA	XP_046456690.1	XP_046646068.1	KAI9559157.1
N0.HOG0007707	OG0006280	n0	XP_057368607.1		XP_045036174.1, XP_032782589.1	Daphnia00621-RB	XP_046458995.1	XP_046638434.1	KAI9559186.1
N0.HOG0007708	OG0006281	n0	XP_057368609.1	CAH0109020.1	XP_032783177.1	Daphnia00400-RA	XP_046456666.1	XP_046646220.1	KAI9559178.1
N0.HOG0007709	OG0006282	n0	XP_057368616.1	CAH0109010.1	XP_032783180.1	Daphnia00419-RA	XP_046456713.1	XP_046646259.1	KAI9559168.1
N0.HOG0007710	OG0006283	n0	XP_057368619.1	CAH0109031.1	XP_032783236.2	Daphnia00428-RA	XP_046456730.1	XP_046646336.1	KAI9559142.1
N0.HOG0007711	OG0006284	n0	XP_057368629.1	CAH0101351.1	XP_032783189.2	Daphnia00698-RA	XP_046459095.1	XP_046637935.1	KAI9559267.1
N0.HOG0007712	OG0006285	n0	XP_057368631.1	CAH0101348.1	XP_045028117.1, XP_032783191.2	Daphnia00696-RB		XP_046638061.1	KAI9559270.1
N0.HOG0007713	OG0006286	n0	XP_057368639.1	CAH0107335.1	XP_045027840.1	Daphnia00671-RA	XP_046459037.1	XP_046638240.1	KAI9559217.1
N0.HOG0007714	OG0006287	n0	XP_057368654.1, XP_057368646.1	CAH0099374.1	XP_032781293.2	Daphnia03305-RA	XP_046436809.1	XP_046652270.1	
N0.HOG0007715	OG0006288	n0	XP_057368648.1	CAH0101349.1	XP_032783197.1	Daphnia00697-RA	XP_046459102.1	XP_046638388.1	KAI9559269.1
N0.HOG0007716	OG0006289	n0	XP_057368649.1		XP_032783045.2		XP_046459106.1, XP_046458168.1	XP_046638393.1, XP_046638627.1	KAI9559264.1
N0.HOG0007717	OG0006290	n0	XP_057368661.1	CAH0107334.1	XP_032783156.1	Daphnia00670-RA	XP_046459040.1	XP_046638455.1	KAI9559216.1
N0.HOG0007718	OG0006291	n0	XP_057368662.1	CAH0101350.1	XP_032783199.1	Daphnia00699-RA	XP_046459103.1	XP_046638489.1	KAI9559268.1
N0.HOG0007719	OG0006292	n0	XP_057368663.1	CAH0107333.1	XP_045028513.1	Daphnia00669-RB	XP_046459036.1	XP_046637946.1	KAI9559215.1
N0.HOG0007720	OG0006293	n0	XP_057368672.1	CAH0099671.1	XP_032784418.2	Daphnia01531-RA	XP_046458342.1	XP_046646613.1	KAI9558461.1
N0.HOG0007721	OG0006294	n0	XP_057368688.1	CAH0111437.1	XP_032781294.2	Daphnia03310-RA	XP_046436810.1	XP_046652284.1	KAI9555302.1
N0.HOG0007722	OG0006295	n0	XP_057368689.1	CAH0102254.1	XP_045028843.1	Daphnia01533-RA	XP_046458346.1	XP_046646616.1	KAI9558463.1
N0.HOG0007723	OG0006296	n0	XP_057368695.1	CAH0099141.1	XP_045028316.1	Daphnia00527-RA	XP_046457071.1	XP_046638426.1	KAI9559093.1
N0.HOG0007724	OG0006297	n0	XP_057368697.1	CAH0099132.1	XP_045028314.1	Daphnia00516-RA	XP_046456961.1	XP_046638299.1	KAI9559085.1
N0.HOG0007725	OG0006298	n0	XP_057368698.1	CAH0099138.1, CAH0113005.1	XP_032783338.1	Daphnia00524-RA	XP_046457199.1	XP_046638370.1	
N0.HOG0007726	OG0006299	n0	XP_057368699.1	CAH0100615.1	XP_032779962.2	Daphnia03552-RA	XP_046437411.1	XP_046652686.1	KAI9555328.1
N0.HOG0007727	OG0006300	n0	XP_057368700.1	CAH0109118.1	XP_032783402.2	Daphnia00509-RA	XP_046456845.1	XP_046638422.1	KAI9559042.1
N0.HOG0007728	OG0006301	n0	XP_057368706.1	CAH0109117.1	XP_032783405.2	Daphnia00508-RA	XP_046456857.1	XP_046638529.1	KAI9559043.1
N0.HOG0007729	OG0006302	n0	XP_057368707.1	CAH0109116.1	XP_045029072.1	Daphnia00507-RA	XP_046456835.1	XP_046637907.1	KAI9559044.1
N0.HOG0007730	OG0006303	n0	XP_057368713.1	CAH0108988.1	XP_045029157.1	Daphnia00385-RA	XP_046456637.1	XP_046645959.1	KAI9559333.1
N0.HOG0007731	OG0006304	n0	XP_057368718.1	CAH0107860.1	XP_032781341.2	Daphnia03371-RA	XP_046464463.1	XP_046652307.1	KAI9555284.1
N0.HOG0007732	OG0006305	n0	XP_057368720.1	CAH0108990.1	XP_032784523.1	Daphnia00387-RA	XP_046456674.1	XP_046646344.1	KAI9559335.1
N0.HOG0007733	OG0006306	n0	XP_057368721.1	CAH0108989.1	XP_032784482.2		XP_046456604.1, XP_046456605.1	XP_046645581.1	KAI9559334.1
N0.HOG0007734	OG0006307	n0	XP_057368722.1	CAH0108985.1	XP_032784484.1	Daphnia00381-RA	XP_046456628.1	XP_046645879.1	KAI9559329.1
N0.HOG0007735	OG0006308	n0	XP_057368723.1	CAH0108987.1	XP_032784517.1	Daphnia00384-RG	XP_046456663.1	XP_046646186.1	KAI9559331.1
N0.HOG0007736	OG0006309	n0	XP_057368727.1	CAH0111426.1	XP_045026408.1	Daphnia03559-RA	XP_046436818.1	XP_046652321.1	KAI9555292.1
N0.HOG0007737	OG0006310	n0	XP_057368730.1	CAH0104577.1	XP_032782913.2	Daphnia01688-RA	XP_046458274.1	XP_046647521.1	KAI9558691.1
N0.HOG0007738	OG0006311	n0	XP_057368731.1	CAH0099976.1	XP_032782752.1	Daphnia00028-RB	XP_046459606.1	XP_046648564.1	KAI9558683.1
N0.HOG0007739	OG0006312	n0	XP_057368733.1	CAH0099978.1	XP_032782758.1	Daphnia00026-RA	XP_046459607.1	XP_046648565.1	KAI9558681.1
N0.HOG0007740	OG0006313	n0	XP_057368735.1	CAH0099977.1	XP_032782762.1	Daphnia00027-RA	XP_046459609.1	XP_046648566.1	KAI9558682.1
N0.HOG0007741	OG0006314	n0	XP_057368746.1	CAH0107329.1	XP_032782592.2	Daphnia00664-RA	XP_046459035.1	XP_046638481.1	KAI9559211.1
N0.HOG0007742	OG0006315	n0	XP_057368753.1	CAH0100614.1	XP_032779966.2	Daphnia03527-RA	XP_046437413.1	XP_046650682.1	KAI9555327.1
N0.HOG0007743	OG0006316	n0	XP_057368765.1	CAH0111429.1	XP_045026413.1	Daphnia03317-RA	XP_046436826.1	XP_046652362.1	KAI9555289.1
N0.HOG0007744	OG0006317	n0	XP_057368766.1	CAH0098288.1	XP_032784414.1	Daphnia01498-RA	XP_046456196.1	XP_046648721.1	KAI9558419.1
N0.HOG0007745	OG0006318	n0	XP_057368767.1	CAH0098289.1	XP_032784425.1	Daphnia01499-RA	XP_046456197.1	XP_046648722.1	KAI9558418.1
N0.HOG0007746	OG0006319	n0	XP_057368769.1	CAH0098287.1	XP_045029151.1	Daphnia01501-RA	XP_046457190.1	XP_046645221.1	KAI9558420.1
N0.HOG0007747	OG0006320	n0	XP_057368771.1	CAH0101270.1	XP_032782020.2, XP_045022863.1		XP_046458370.1	XP_046647988.1	KAI9550649.1
N0.HOG0007748	OG0006321	n0	XP_057368772.1	CAH0101271.1	XP_032782021.1	Daphnia01521-RA	XP_046458369.1	XP_046647987.1	KAI9550648.1
N0.HOG0007749	OG0006322	n0	XP_057368780.1	CAH0103484.1	XP_032782888.2	Daphnia00050-RA	XP_046459644.1	XP_046647901.1	KAI9558698.1
N0.HOG0007750	OG0006323	n0	XP_057368784.1	CAH0112946.1	XP_032780604.2	Daphnia03774-RA	XP_046463501.1	XP_046653538.1	KAI9555332.1
N0.HOG0007751	OG0006324	n0	XP_057368786.1		XP_032782911.2	Daphnia00047-RA	XP_046457086.1, XP_046457085.1	XP_046645123.1	KAI9558695.1
N0.HOG0007752	OG0006325	n0	XP_057368787.1	CAH0101990.1	XP_032782893.1	Daphnia00048-RA	XP_046459647.1	XP_046647904.1	KAI9558696.1
N0.HOG0007753	OG0006326	n0	XP_057368792.1	CAH0108977.1	XP_032784504.2	Daphnia00377-RA	XP_046456636.1	XP_046645954.1	KAI9559321.1
N0.HOG0007754	OG0006327	n0	XP_057368795.1	CAH0108978.1	XP_032784505.2		XP_046456618.1	XP_046645902.1, XP_046645901.1	KAI9559322.1
N0.HOG0007755	OG0006328	n0	XP_057368821.1	CAH0099149.1	XP_032783310.2	Daphnia00559-RA	XP_046457337.1	XP_046638085.1	KAI9559103.1
N0.HOG0007756	OG0006329	n0	XP_057368822.1	CAH0104267.1	XP_032781347.1	Daphnia03778-RA	XP_046437335.1	XP_046653548.1	KAI9555272.1
N0.HOG0007757	OG0006330	n0	XP_057368837.1	CAH0111081.1	XP_032784489.2	Daphnia00732-RA	XP_046459170.1	XP_046638185.1	KAI9559343.1
N0.HOG0007758	OG0006331	n0	XP_057368843.1	CAH0104224.1	XP_032782741.2	Daphnia00022-RA	XP_046457406.1	XP_046648510.1	KAI9558675.1
N0.HOG0007759	OG0006332	n0	XP_057368854.1	CAH0101341.1	XP_032782720.1	Daphnia00708-RA	XP_046459149.1	XP_046638540.1	KAI9559280.1
N0.HOG0007760	OG0006333	n0	XP_057368859.1	CAH0113530.1	XP_032783672.2	Daphnia00337-RA	XP_046456486.1	XP_046645548.1	KAI9558898.1
N0.HOG0007761	OG0006334	n0	XP_057368861.1	CAH0113515.1	XP_032783652.1	Daphnia00351-RA	XP_046456551.1	XP_046646349.1	KAI9558928.1
N0.HOG0007762	OG0006335	n0	XP_057368873.1	CAH0113523.1	XP_032783630.1	Daphnia00344-RB	XP_046456532.1	XP_046645750.1	KAI9558918.1
N0.HOG0007763	OG0006336	n0	XP_057368881.1	CAH0113574.1	XP_032783635.1	Daphnia00300-RA	XP_046456399.1	XP_046645870.1	KAI9558931.1
N0.HOG0007764	OG0006337	n0	XP_057368893.1	CAH0113542.1	XP_032783668.1	Daphnia00329-RA	XP_046456505.1	XP_046638799.1	KAI9558909.1
N0.HOG0007765	OG0006338	n0	XP_057368894.1	CAH0113576.1	XP_032783639.1	Daphnia00298-RA	XP_046456404.1	XP_046645980.1	KAI9558933.1
N0.HOG0007766	OG0006339	n0	XP_057368895.1	CAH0099413.1	XP_032781805.2	Daphnia03271-RA	XP_046437201.1	XP_046652551.1	KAI9555761.1
N0.HOG0007767	OG0006340	n0	XP_057368901.1	CAH0113575.1	XP_032783644.1	Daphnia00299-RA	XP_046456411.1	XP_046646043.1	KAI9558932.1
N0.HOG0007768	OG0006341	n0	XP_057368903.1	CAH0106503.1	XP_032783593.1	Daphnia00291-RA	XP_046456412.1	XP_046646090.1	KAI9558939.1
N0.HOG0007769	OG0006342	n0	XP_057368919.1	CAH0111440.1	XP_032781300.2	Daphnia03307-RA	XP_046436832.1	XP_046652417.1	KAI9555307.1
N0.HOG0007770	OG0006343	n0	XP_057368929.1	CAH0106513.1	XP_032783611.2	Daphnia00296-RA	XP_046456390.1	XP_046645647.1	KAI9558935.1
N0.HOG0007771	OG0006344	n0	XP_057368930.1	CAH0113519.1	XP_032783626.1	Daphnia00347-RB	XP_046456545.1	XP_046645746.1	KAI9558924.1
N0.HOG0007772	OG0006345	n0	XP_057368942.1	CAH0109925.1	XP_032781352.1	Daphnia03745-RA	XP_046457780.1	XP_046632533.1	KAI9555270.1
N0.HOG0007773	OG0006346	n0	XP_057368950.1	CAH0108021.1	XP_032784246.2	Daphnia01712-RA	XP_046459649.1	XP_046647554.1	KAI9558619.1
N0.HOG0007774	OG0006347	n0	XP_057368953.1	CAH0104266.1	XP_032781353.1	Daphnia03779-RA	XP_046437336.1	XP_046653580.1	KAI9555271.1
N0.HOG0007775	OG0006348	n0	XP_057368968.1	CAH0103469.1	XP_032784259.2	Daphnia00016-RA	XP_046459287.1	XP_046646507.1	KAI9558629.1
N0.HOG0007776	OG0006349	n0	XP_057368970.1	CAH0099910.1	XP_032783486.2	Daphnia01731-RA	XP_046459530.1	XP_046648136.1	KAI9558658.1
N0.HOG0007777	OG0006350	n0	XP_057368971.1	CAH0108020.1	XP_032784260.1	Daphnia01713-RA	XP_046458161.1	XP_046646558.1	KAI9558618.1
N0.HOG0007778	OG0006351	n0	XP_057368976.1	CAH0108023.1	XP_032784267.1	Daphnia01711-RA	XP_046459650.1	XP_046647556.1	KAI9558620.1
N0.HOG0007779	OG0006352	n0	XP_057368993.1	CAH0099974.1	XP_032784236.2	Daphnia00030-RA	XP_046457094.1	XP_046648607.1	KAI9558640.1
N0.HOG0007780	OG0006353	n0	XP_057369002.1	CAH0099390.1	XP_032779945.2	Daphnia03291-RA	XP_046436840.1	XP_046652469.1	KAI9555323.1
N0.HOG0007781	OG0006354	n0	XP_057369008.1	CAH0109963.1	XP_045026686.1	Daphnia03752-RA	XP_046463810.1	XP_046632602.1	KAI9555759.1
N0.HOG0007782	OG0006355	n0	XP_057369014.1	CAH0108019.1	XP_032784289.1	Daphnia01714-RA	XP_046458162.1	XP_046646560.1	KAI9558617.1
N0.HOG0007783	OG0006356	n0	XP_057369016.1	CAH0099378.1	XP_032779946.2	Daphnia03301-RA	XP_046436845.1	XP_046652488.1	KAI9555311.1
N0.HOG0007784	OG0006357	n0	XP_057369026.1	CAH0111438.1	XP_032781304.2	Daphnia03309-RC	XP_046436842.1	XP_046652452.1	KAI9555304.1
N0.HOG0007785	OG0006358	n0	XP_057369035.1	CAH0099975.1	XP_032784237.1	Daphnia00029-RA	XP_046457095.1	XP_046648609.1	KAI9558641.1
N0.HOG0007786	OG0006359	n0	XP_057369036.1	CAH0103479.1	XP_045028211.1	Daphnia00043-RE	XP_046460017.1	XP_046648002.1	KAI9558624.1
N0.HOG0007787	OG0006360	n0	XP_057369038.1	CAH0099917.1	XP_032784234.1	Daphnia01726-RA	XP_046458785.1	XP_046647842.1	KAI9558642.1
N0.HOG0007788	OG0006361	n0	XP_057369039.1	CAH0099920.1	XP_045028985.1	Daphnia01724-RA	XP_046459617.1	XP_046647836.1	KAI9558645.1
N0.HOG0007789	OG0006362	n0	XP_057369052.1	CAH0111427.1	XP_032781334.2	Daphnia03319-RA	XP_046436844.1	XP_046652497.1	KAI9555291.1
N0.HOG0007790	OG0006363	n0	XP_057369074.1	CAH0110353.1	XP_045027774.1	Daphnia01624-RC	XP_046457351.1	XP_046645115.1	KAI9558549.1
N0.HOG0007791	OG0006364	n0	XP_057369076.1	CAH0104384.1	XP_045027868.1	Daphnia01669-RA	XP_046458239.1	XP_046647941.1	KAI9558581.1
N0.HOG0007792	OG0006365	n0	XP_057369079.1	CAH0104393.1	XP_032782830.2	Daphnia01662-RA	XP_046458210.1	XP_046647943.1	KAI9558589.1
N0.HOG0007793	OG0006366	n0	XP_057369091.1	CAH0110345.1	XP_032782963.2	Daphnia01632-RA	XP_046457105.1	XP_046645277.1	KAI9558544.1
N0.HOG0007794	OG0006367	n0	XP_057369092.1	CAH0109989.1	XP_032782673.2	Daphnia01602-RA	XP_046459554.1	XP_046648758.1	KAI9558572.1
N0.HOG0007795	OG0006368	n0	XP_057369094.1	CAH0110003.1	XP_032782919.2	Daphnia01617-RA	XP_046457360.1	XP_046647429.1	KAI9558556.1
N0.HOG0007796	OG0006369	n0	XP_057369100.1	CAH0109992.1	XP_032782682.2	Daphnia01608-RD	XP_046457150.1	XP_046647575.1	KAI9558569.1
N0.HOG0007797	OG0006370	n0	XP_057369115.1	CAH0099231.1	XP_032783474.1	Daphnia01678-RA	XP_046458249.1	XP_046647959.1	KAI9558614.1
N0.HOG0007798	OG0006371	n0	XP_057369117.1	CAH0109967.1	XP_032780483.1	Daphnia03748-RA	XP_046437950.1	XP_046632615.1	KAI9555755.1
N0.HOG0007799	OG0006372	n0	XP_057369119.1	CAH0104382.1	XP_032782669.2	Daphnia01667-RA	XP_046458236.1	XP_046647960.1	KAI9558580.1
N0.HOG0007800	OG0006373	n0	XP_057369120.1	CAH0099226.1	XP_032782824.2	Daphnia01649-RA	XP_046458195.1	XP_046647961.1	KAI9558599.1
N0.HOG0007801	OG0006374	n0	XP_057369121.1		XP_032782883.2	Daphnia01545-RC	XP_046457238.1	XP_046646595.1	KAI9549285.1, KAI9558493.1
N0.HOG0007802	OG0006375	n0	XP_057369124.1	CAH0104391.1	XP_032782837.2	Daphnia01663-RA	XP_046458223.1	XP_046647962.1	KAI9558587.1
N0.HOG0007803	OG0006376	n0	XP_057369138.1	CAH0109983.1	XP_032782678.2	Daphnia01643-RA	XP_046458186.1	XP_046646564.1	KAI9558575.1
N0.HOG0007804	OG0006377	n0	XP_057369141.1	CAH0110352.1	XP_032782970.1	Daphnia01625-RA	XP_046457247.1	XP_046648748.1	KAI9558547.1
N0.HOG0007805	OG0006378	n0	XP_057369142.1	CAH0110349.1	XP_032782969.2	Daphnia01627-RA	XP_046457310.1	XP_046648210.1	KAI9558545.1
N0.HOG0007806	OG0006379	n0	XP_057369147.1	CAH0109993.1	XP_045027762.1	Daphnia01609-RB	XP_046456966.1	XP_046647578.1	KAI9558567.1
N0.HOG0007807	OG0006380	n0	XP_057369159.1	CAH0107859.1	XP_032781336.1	Daphnia03370-RA	XP_046464469.1	XP_046652587.1	KAI9555286.1
N0.HOG0007808	OG0006381	n0	XP_057369164.1	CAH0099227.1	XP_032782804.2	Daphnia01647-RA	XP_046458194.1	XP_046647966.1	KAI9558603.1
N0.HOG0007809	OG0006382	n0	XP_057369169.1		XP_032783094.1	Daphnia01597-RA	XP_046459585.1, XP_046457039.1	XP_046648104.1	KAI9558536.1
N0.HOG0007810	OG0006383	n0	XP_057369175.1	CAH0109995.1	XP_045027773.1		XP_046457373.1, XP_046459564.1	XP_046645171.1	KAI9558565.1
N0.HOG0007811	OG0006384	n0	XP_057369180.1, XP_057369179.1, XP_057369178.1		XP_045028143.1		XP_046458244.1	XP_046647973.1	KAI9558605.1
N0.HOG0007812	OG0006385	n0	XP_057369181.1	CAH0109984.1	XP_045027771.1	Daphnia01642-RB	XP_046458183.1	XP_046646565.1	KAI9558576.1
N0.HOG0007813	OG0006386	n0	XP_057369183.1	CAH0111441.1, CAH0099373.1	XP_032781311.1	Daphnia03306-RA	XP_046436853.1	XP_046652591.1	
N0.HOG0007814	OG0006387	n0	XP_057369184.1		XP_045028973.1, XP_032782635.2	Daphnia01566-RA	XP_046458146.1	XP_046648638.1	KAI9558505.1
N0.HOG0007815	OG0006388	n0	XP_057369185.1	CAH0109996.1	XP_032782927.1	Daphnia01611-RA	XP_046459570.1, XP_046457368.1		KAI9558564.1
N0.HOG0007816	OG0006389	n0	XP_057369188.1	CAH0104392.1	XP_032782841.2	Daphnia01664-RA	XP_046458227.1	XP_046647975.1	KAI9558588.1
N0.HOG0007817	OG0006390	n0	XP_057369197.1	CAH0104390.1	XP_045028159.1	Daphnia01665-RA	XP_046458212.1	XP_046647927.1	KAI9558586.1
N0.HOG0007818	OG0006391	n0	XP_057369198.1	CAH0099230.1	XP_032783472.1	Daphnia01679-RA	XP_046458250.1	XP_046647977.1	KAI9558612.1
N0.HOG0007819	OG0006392	n0	XP_057369200.1	CAH0099228.1	XP_032783475.2	Daphnia01681-RA	XP_046458251.1	XP_046647978.1	KAI9558610.1
N0.HOG0007820	OG0006393	n0	XP_057369202.1	CAH0099376.1	XP_032781312.2	Daphnia03303-RA	XP_046436857.1	XP_046652602.1	KAI9555309.1
N0.HOG0007821	OG0006394	n0	XP_057369207.1	CAH0099387.1	XP_032779954.2	Daphnia03294-RA	XP_046436858.1	XP_046652605.1	KAI9555320.1
N0.HOG0007822	OG0006395	n0	XP_057369214.1	CAH0111436.1	XP_032781313.1	Daphnia03311-RA	XP_046436860.1	XP_046652606.1	KAI9555301.1
N0.HOG0007823	OG0006396	n0	XP_057369222.1	CAH0099411.1	XP_032781848.2	Daphnia03273-RA	XP_046437214.1	XP_046652580.1	KAI9555772.1
N0.HOG0007824	OG0006397	n0	XP_057369226.1	CAH0106469.1	XP_032783562.1	Daphnia00259-RA	XP_046456293.1	XP_046645679.1	KAI9558964.1
N0.HOG0007825	OG0006398	n0	XP_057369230.1	CAH0106397.1	XP_032783543.2	Daphnia00109-RA	XP_046459406.1	XP_046646185.1	KAI9558967.1
N0.HOG0007826	OG0006399	n0	XP_057369237.1	CAH0106470.1	XP_032783563.1	Daphnia00260-RC	XP_046456283.1	XP_046645551.1	KAI9558963.1
N0.HOG0007827	OG0006400	n0	XP_057369238.1	CAH0106468.1	XP_032783559.2	Daphnia00258-RA	XP_046456284.1	XP_046646434.1	KAI9558965.1
N0.HOG0007828	OG0006401	n0	XP_057369244.1	CAH0106435.1	XP_032783528.2	Daphnia00149-RA	XP_046459497.1	XP_046645674.1	KAI9558978.1
N0.HOG0007829	OG0006402	n0	XP_057369250.1	CAH0106439.1	XP_045027583.1	Daphnia00154-RA	XP_046459498.1	XP_046645770.1	KAI9558974.1
N0.HOG0007830	OG0006403	n0	XP_057369253.1	CAH0099389.1	XP_032779955.1	Daphnia03292-RA	XP_046436863.1	XP_046652649.1	KAI9555322.1
N0.HOG0007831	OG0006404	n0	XP_057369258.1	CAH0106438.1	XP_045027591.1	Daphnia00153-RA	XP_046459507.1	XP_046646260.1	KAI9558975.1
N0.HOG0007832	OG0006405	n0	XP_057369259.1	CAH0106426.1	XP_032783541.1	Daphnia00140-RA	XP_046459476.1	XP_046646174.1	KAI9558979.1
N0.HOG0007833	OG0006406	n0	XP_057369260.1	CAH0106425.1	XP_032783542.1	Daphnia00139-RA	XP_046459477.1	XP_046646176.1	KAI9558980.1
N0.HOG0007834	OG0006407	n0	XP_057369262.1	CAH0106437.1	XP_032783546.2	Daphnia00151-RA	XP_046459509.1	XP_046646195.1	KAI9558977.1
N0.HOG0007835	OG0006408	n0	XP_057369265.1	CAH0106423.1	XP_032783551.2	Daphnia00020-RA	XP_046459468.1	XP_046646274.1	KAI9558983.1
